id,has_availability,availability_30,availability_60,availability_90,availability_365
7380500,t,0,0,0,31
7436928,t,8,9,10,25
7446427,t,0,0,0,58
7478915,t,23,35,52,84
7479052,t,0,0,0,31
7479311,t,0,0,0,219
7481783,,0,0,0,0
7495065,t,30,60,85,355
7511430,t,30,55,83,340
7515930,t,1,1,1,1
7079413,t,0,0,0,0
7541811,t,0,0,0,0
7542466,,0,0,0,0
7543359,t,0,0,0,0
7545464,t,0,0,0,4
7561853,t,5,9,18,235
7570673,t,30,53,66,197
7581958,t,0,0,0,0
7586377,t,0,0,0,0
7592508,,0,0,0,0
7081043,t,29,59,89,334
7081211,t,6,36,66,328
7085199,t,29,59,78,276
7601135,t,30,33,62,152
7601929,t,29,51,76,98
7613035,t,6,12,22,268
7616744,,0,0,0,0
7617116,,0,0,0,0
7624878,t,11,28,46,46
7640739,t,30,60,90,363
7650364,t,26,33,33,238
7658744,t,0,0,0,0
7661473,t,0,0,0,0
7086684,t,8,13,21,247
7087791,t,12,18,20,279
7097413,t,29,59,89,364
7110749,t,0,0,6,281
7124693,t,0,0,0,0
7130433,t,0,0,0,0
7130996,t,0,0,0,0
7663773,t,0,0,0,0
7672700,t,11,13,13,40
7673149,t,0,0,0,0
7678928,t,29,56,85,171
7687900,t,14,17,23,222
7696069,t,8,13,25,78
7696968,t,1,6,18,231
7705208,t,29,45,66,319
7144443,t,0,0,0,0
7144567,,0,0,0,0
7151520,t,0,0,0,0
7705865,t,28,43,67,339
7725011,t,24,46,76,221
7746379,,0,0,0,0
7746705,,0,0,0,0
7758778,t,7,24,34,245
7760703,,0,0,0,0
7772119,t,26,47,62,335
7772589,t,30,53,80,350
7772698,t,30,50,77,318
7786187,t,22,34,53,305
7786510,t,24,41,62,296
7786682,t,28,47,69,321
7178918,t,4,7,8,202
7786924,t,24,53,76,348
7793422,t,20,21,33,225
7795519,t,18,44,72,339
7796110,t,20,39,69,341
7807402,t,0,0,0,0
7813288,t,29,59,89,319
7814530,t,6,31,50,281
7835669,t,27,45,75,253
7855022,t,20,26,38,269
7857591,t,19,31,47,251
7867682,t,7,15,23,285
7179596,t,27,40,70,345
7201112,t,14,40,70,318
7203643,t,5,14,20,166
7873060,t,0,0,0,0
7882034,t,22,25,28,43
7897180,t,3,7,18,274
7900300,t,11,22,41,244
7900427,t,17,33,49,234
7908739,t,25,46,67,325
7918261,t,29,59,89,364
7919824,t,27,54,84,105
7920425,t,29,51,76,94
7205451,t,20,38,54,201
7221087,t,0,0,0,0
7221420,t,5,11,15,227
7231016,t,10,16,26,157
7927160,,0,0,0,0
7955621,t,30,45,45,45
7970866,t,0,0,0,0
7996802,t,7,26,49,246
8004371,t,3,19,41,251
8024091,t,0,0,0,0
8039407,t,9,11,20,77
8039971,t,0,0,0,0
8040284,t,20,20,20,20
7231817,t,0,0,0,68
7239544,t,0,0,0,0
7239893,t,0,0,0,0
7240303,t,12,25,30,262
7252323,,0,0,0,0
7257994,t,20,39,56,295
7263132,t,0,0,0,0
7274811,t,0,0,0,0
7278225,t,23,42,61,327
7279597,t,30,60,90,365
8052216,,0,0,0,0
